tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;natureza_acidente;detalhe_endereco_acidente;endereco_cruzamento;numero_cruzamento;referencia_cruzamento;bairro_cruzamento;vitimasfatais;DATA;num_semaforo;sentido_via;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3;Protocolo
COLISÃO COM CICLISTA;CANCELADA;;13:18:00;IPUTINGA;RUA SAO MATEUS;10;NA ESQUINA DA FARMACIA DO TRABALHADOR;;SEM VITIMAS;1.0;;;1.0;;;;;;0.0;SEM VÍTIMA;;RUA SAO MATEUS;10;NA ESQUINA DA FARMACIA DO TRABALHADOR;IPUTINGA;;2018-04-21;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;CANCELADA;;18:27:00;BONGI;EST DO BONGI;;E/F A ANTIGA ITAPEMIRIM , SNT MUSTARDINHA;;AUTO X CICLISTA;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;EST DO BONGI;;E/F A ANTIGA ITAPEMIRIM , SNT MUSTARDINHA;BONGI;;2018-04-22;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;16:19:00;CASA AMARELA;EST DO ARRAIAL;340;EM FRENTE A CLINICA SÃO FRANCISCO;;;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;EST DO ARRAIAL;340;EM FRENTE A CLINICA SÃO FRANCISCO;CASA AMARELA;;2018-04-26;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;17:58:00;SANTO AMARO;AV PREFEITO ARTUR LIMA CAVALCANTI;;POR TRÃS DO HOSPITAL DA MARINHA ( HOSPITAL NAVAL) SNT OLINDA;;AUTO X BIKE. C/V;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;AV PREFEITO ARTUR LIMA CAVALCANTI;;POR TRÃS DO HOSPITAL DA MARINHA ( HOSPITAL NAVAL) SNT OLINDA;SANTO AMARO;;2018-04-30;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;14:52:00;TORRE;RUA JOSE BONIFACIO;750;EM FRENTE AO EDIFICIO BARÃO DA TORRE;;COLISÃO COM VÍTIMA;1.0;1.0;;1.0;;;;;;1.0;COM VÍTIMA;;RUA JOSE BONIFACIO;750;EM FRENTE AO EDIFICIO BARÃO DA TORRE;TORRE;;2018-05-02;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;08:05:00;HIPÓDROMO;RUA CARLOS FERNANDES;;CRUZAMENTO COM A RUA PRUDENTE DE MORAES;;UMA VITIMA SOCORRIDA PELOS BOMBEIROS VT 11 DA CTTU FAZENDO O B.O;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;RUA PRUDENTE DE MORAES;RUA CARLOS FERNANDES;;CRUZAMENTO COM A RUA PRUDENTE DE MORAES;HIPÓDROMO;;2018-05-03;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;12:24:00;ILHA DO LEITE;RUA GENERAL JOAQUIM INACIO;412;POR TRÁS DO COLEGIO SALESIANO;;COLISÃO SEM VÍTIMA;1.0;;;1.0;;;;;;0.0;SEM VÍTIMA;;RUA GENERAL JOAQUIM INACIO;412;POR TRÁS DO COLEGIO SALESIANO;ILHA DO LEITE;;2018-05-03;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;17:01:00;VÁRZEA;AV AFONSO OLINDENSE;;EM FRENTE AO DOCA PEÇAS E SEVIÇOS DE AR CONDICIONADO, NO SEMAFORO 638;;MOTO E CICLISTA;1.0;;;1.0;;;;;;0.0;SEM VÍTIMA;;AV AFONSO OLINDENSE;;EM FRENTE AO DOCA PEÇAS E SEVIÇOS DE AR CONDICIONADO, NO SEMAFORO 638;VÁRZEA;;2018-05-06;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;07:24:00;BOA VISTA;AV CONDE DA BOA VISTA;;SEMÁFORO 486, SENTIDO GUARARAPES;;COM UMA VÍTIMA SENDO SOCORRIDA PELOS BOMBEIROS;;;;1.0;;1.0;;;;1.0;COM VÍTIMA;;AV CONDE DA BOA VISTA;;SEMÁFORO 486, SENTIDO GUARARAPES;BOA VISTA;;2018-05-08;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;12:55:00;SANTO AMARO;AV NORTE;;PROX. AO CEMITERIO DOS INGLESES, SEMAFORO 587;;MOTO E CICLISTA, COM DUAS VITIMAS;;1.0;;1.0;;;;;;2.0;COM VÍTIMA;;AV NORTE;;PROX. AO CEMITERIO DOS INGLESES, SEMAFORO 587;SANTO AMARO;;2018-05-09;;;;;;;;;;;;;;;;
